"Consequent","Split Value 1","Split Value 2","Split Value 3","ItemSetSupport","RelativeItemSetSupport%","RuleConfidence%","AbsoluteBodySetSupport","RelativeBodySetSupport%","RuleLift","RuleLift%","AbsoluteHeadItemSupport","RelativeHeadItemSupport%"
"boottocht","Cluster_17",,,19,0.43399,13.5,141.0,3.2,16.38731,1638.73128,36.0,0.82229
"panason","Cluster_23_presquile",,,30,0.68524,12.0,250.0,5.7,11.42087,1142.08696,46.0,1.05071
"francja","Cluster_23",,,21,0.47967,6.8,311.0,7.1,4.4791,447.90997,66.0,1.50754
"artific","Cluster_19",,,12,0.2741,6.3,189.0,4.3,4.55686,455.68566,61.0,1.39333
"lumix","Cluster_23_presquile",,,27,0.61672,10.8,250.0,5.7,8.01397,801.39661,59.0,1.34765
"feu","Cluster_19",,,12,0.2741,6.3,189.0,4.3,4.48336,448.33589,62.0,1.41617
"sculptur","Cluster_23_presquile",,,18,0.41115,7.2,250.0,5.7,6.85252,685.25217,46.0,1.05071
"automn","Cluster_25",,,17,0.38831,5.2,326.0,7.4,5.18865,518.86503,44.0,1.00503
"girl","Cluster_22_presquile",,,23,0.52535,10.2,226.0,5.2,7.95623,795.62263,56.0,1.27912
"lhc","Cluster_10",,,63,1.43901,37.3,169.0,3.9,25.90533,2590.53254,63.0,1.43901
"spectacl","Cluster_23_presquile",,,61,1.39333,24.4,250.0,5.7,17.512,1751.2,61.0,1.39333
"musé","Cluster_23_presquile",,,22,0.50251,8.8,250.0,5.7,4.32881,432.8809,89.0,2.03289
"musé","Cluster_15_presquile",,,45,1.02787,7.4,608.0,13.9,3.64078,364.07821,89.0,2.03289
"canoneos6d","Cluster_25",,,34,0.77661,10.4,326.0,7.4,8.78079,878.07928,52.0,1.18776
"fetedeslumier","Cluster_23_presquile",,,61,1.39333,24.4,250.0,5.7,16.69113,1669.1125,64.0,1.46185
"theatr","Cluster_19",,,59,1.34765,31.2,189.0,4.3,19.80692,1980.69166,69.0,1.57606
"confluenc","Cluster_17",,,46,1.05071,32.6,141.0,3.2,16.04813,1604.81313,89.0,2.03289
"natur","Cluster_25",,,32,0.73093,9.8,326.0,7.4,6.31974,631.97402,68.0,1.55322
"eo","Cluster_25",,,33,0.75377,10.1,326.0,7.4,8.68964,868.96427,51.0,1.16492
"rise","Cluster_11_presquile",,,13,0.29694,8.4,154.0,3.5,6.26392,626.39225,59.0,1.34765
"parcdelatêtedor","Cluster_25",,,104,2.37551,31.9,326.0,7.4,11.08462,1108.46236,126.0,2.87803
"hockey","Cluster_10",,,106,2.4212,62.7,169.0,3.9,25.90533,2590.53254,106.0,2.4212
"vill","Cluster_17",,,9,0.20557,6.4,141.0,3.2,2.38843,238.84343,117.0,2.67245
"citi","Cluster_17",,,12,0.2741,8.5,141.0,3.2,2.25816,225.8156,165.0,3.76884
"architectur","Cluster_17",,,16,0.36546,11.3,141.0,3.2,2.79098,279.09794,178.0,4.06578
"byinstagram","Cluster_17",,,11,0.25126,7.8,141.0,3.2,0.75731,75.73084,451.0,10.30151
"instagramapp","Cluster_17",,,11,0.25126,7.8,141.0,3.2,0.75396,75.39649,453.0,10.34719
"iphoneographi","Cluster_17",,,11,0.25126,7.8,141.0,3.2,0.75396,75.39649,453.0,10.34719
"squareformat","Cluster_17",,,11,0.25126,7.8,141.0,3.2,0.74573,74.57338,458.0,10.4614
"squar","Cluster_17",,,11,0.25126,7.8,141.0,3.2,0.73293,73.29315,466.0,10.64413
"upload","Cluster_17",,,11,0.25126,7.8,141.0,3.2,0.68309,68.30922,500.0,11.42074
"rhônealp","Cluster_17",,,14,0.31978,9.9,141.0,3.2,0.79324,79.32391,548.0,12.51713
"franc","Cluster_17",,,66,1.50754,46.8,141.0,3.2,1.02056,102.05561,2008.0,45.86569
"lyon","Cluster_17",,,114,2.60393,80.9,141.0,3.2,1.00702,100.70155,3515.0,80.2878
"couleur","Cluster_22_presquile",,,14,0.31978,6.2,226.0,5.2,2.55852,255.8524,106.0,2.4212
"couleur","Cluster_23_presquile",,,63,1.43901,25.2,250.0,5.7,10.40808,1040.80755,106.0,2.4212
"black","Cluster_25",,,18,0.41115,5.5,326.0,7.4,3.66258,366.25767,66.0,1.50754
"white","Cluster_25",,,21,0.47967,6.4,326.0,7.4,4.14733,414.73295,68.0,1.55322
"parc","Cluster_25",,,91,2.07857,27.9,326.0,7.4,10.81487,1081.48651,113.0,2.58109
"terreaux","Cluster_23_presquile",,,16,0.36546,6.4,250.0,5.7,4.44749,444.74921,63.0,1.43901
"canon","Cluster_25",,,34,0.77661,10.4,326.0,7.4,4.90969,490.96906,93.0,2.12426
"charlemagn","Cluster_10",,,157,3.58611,92.9,169.0,3.9,25.90533,2590.53254,157.0,3.58611
"bellecour","Cluster_22_presquile",,,32,0.73093,14.2,226.0,5.2,8.05057,805.05689,77.0,1.75879
"lion","Cluster_10",,,123,2.8095,72.8,169.0,3.9,16.34028,1634.02822,195.0,4.45409
"franc","Cluster_10",,,19,0.43399,11.2,169.0,3.9,0.24512,24.51201,2008.0,45.86569
"lyon","Cluster_10",,,168,3.83737,99.4,169.0,3.9,1.23815,123.81493,3515.0,80.2878
"oldtown","Cluster_19",,,11,0.25126,5.8,189.0,4.3,3.14573,314.57313,81.0,1.85016
"vieuxlyon","Cluster_19",,,11,0.25126,5.8,189.0,4.3,1.76947,176.94738,144.0,3.28917
"nuit","Cluster_19",,,70,1.5989,37.0,189.0,4.3,7.11176,711.17609,228.0,5.20786
"fourvier","Cluster_19",,,94,2.1471,49.7,189.0,4.3,12.44239,1244.23885,175.0,3.99726
"citi","Cluster_19",,,12,0.2741,6.3,189.0,4.3,1.68466,168.46561,165.0,3.76884
"fourvièr","Cluster_19",,,47,1.07355,24.9,189.0,4.3,5.23418,523.41779,208.0,4.75103
"rhônealp","Cluster_19",,,14,0.31978,7.4,189.0,4.3,0.59178,59.17816,548.0,12.51713
"franc","Cluster_19",,,73,1.66743,38.6,189.0,4.3,0.84212,84.21183,2008.0,45.86569
"lyon","Cluster_19",,,121,2.76382,64.0,189.0,4.3,0.7974,79.73959,3515.0,80.2878
"blackandwhit","Cluster_25",,,18,0.41115,5.5,326.0,7.4,1.84527,184.52676,131.0,2.99223
"traboul","Cluster_15_presquile",,,34,0.77661,5.6,608.0,13.9,2.91455,291.4552,84.0,1.91868
"noiretblanc","Cluster_11_presquile",,,9,0.20557,5.8,154.0,3.5,1.75245,175.24462,146.0,3.33486
"noiretblanc","Cluster_25",,,18,0.41115,5.5,326.0,7.4,1.65569,165.56854,146.0,3.33486
"rhonealp","Cluster_22_presquile",,,21,0.47967,9.3,226.0,5.2,3.28069,328.0688,124.0,2.83234
"rhonealp","Cluster_23",,,18,0.41115,5.8,311.0,7.1,2.04346,204.34602,124.0,2.83234
"night","Cluster_15_presquile",,,36,0.82229,5.9,608.0,13.9,2.49254,249.25354,104.0,2.37551
"oldtown","Cluster_15_presquile",,,40,0.91366,6.6,608.0,13.9,3.55588,355.58804,81.0,1.85016
"citi","Cluster_22_presquile",,,15,0.34262,6.6,226.0,5.2,1.76106,176.10619,165.0,3.76884
"fourvièr","Cluster_22_presquile",,,12,0.2741,5.3,226.0,5.2,1.1176,111.7597,208.0,4.75103
"street","Cluster_22_presquile",,,20,0.45683,8.8,226.0,5.2,1.78541,178.54084,217.0,4.9566
"upload","Cluster_22_presquile",,,16,0.36546,7.1,226.0,5.2,0.61989,61.98938,500.0,11.42074
"europ","Cluster_22_presquile",,,51,1.16492,22.6,226.0,5.2,2.35789,235.78896,419.0,9.57058
"rhônealp","Cluster_22_presquile",,,15,0.34262,6.6,226.0,5.2,0.53025,53.02468,548.0,12.51713
"franc","Cluster_22_presquile",,,100,2.28415,44.2,226.0,5.2,0.96473,96.47252,2008.0,45.86569
"lyon","Cluster_22_presquile",,,208,4.75103,92.0,226.0,5.2,1.14632,114.63186,3515.0,80.2878
"street","Cluster_11_presquile",,,21,0.47967,13.6,154.0,3.5,2.75115,275.11521,217.0,4.9566
"foursquar","Cluster_11_presquile",,,54,1.23344,35.1,154.0,3.5,6.06776,606.77583,253.0,5.77889
"lyo15","Cluster_11_presquile",,,8,0.18273,5.2,154.0,3.5,1.4126,141.25998,161.0,3.67748
"frankreich","Cluster_11_presquile",,,8,0.18273,5.2,154.0,3.5,1.29959,129.95918,175.0,3.99726
"byinstagram","Cluster_11_presquile",,,62,1.41617,40.3,154.0,3.5,3.90814,390.81406,451.0,10.30151
"instagramapp","Cluster_11_presquile",,,63,1.43901,40.9,154.0,3.5,3.95364,395.36424,453.0,10.34719
"iphoneographi","Cluster_11_presquile",,,63,1.43901,40.9,154.0,3.5,3.95364,395.36424,453.0,10.34719
"squareformat","Cluster_11_presquile",,,64,1.46185,41.6,154.0,3.5,3.97255,397.25515,458.0,10.4614
"squar","Cluster_11_presquile",,,63,1.43901,40.9,154.0,3.5,3.84335,384.33476,466.0,10.64413
"upload","Cluster_11_presquile",,,63,1.43901,40.9,154.0,3.5,3.582,358.2,500.0,11.42074
"europ","Cluster_11_presquile",,,14,0.31978,9.1,154.0,3.5,0.94988,94.98807,419.0,9.57058
"nikon","Cluster_11_presquile",,,10,0.22841,6.5,154.0,3.5,0.97358,97.35812,292.0,6.66971
"rhônealp","Cluster_11_presquile",,,13,0.29694,8.4,154.0,3.5,0.6744,67.44004,548.0,12.51713
"franc","Cluster_11_presquile",,,45,1.02787,29.2,154.0,3.5,0.63709,63.70945,2008.0,45.86569
"lyon","Cluster_11_presquile",,,90,2.05573,58.4,154.0,3.5,0.7279,72.79008,3515.0,80.2878
"d3200","Cluster_15_presquile",,,38,0.86798,6.2,608.0,13.9,3.14511,314.51149,87.0,1.98721
"winter","Cluster_15_presquile",,,38,0.86798,6.2,608.0,13.9,2.97418,297.41848,92.0,2.10142
"vieuxlyon","Cluster_15_presquile",,,95,2.16994,15.6,608.0,13.9,4.75043,475.0434,144.0,3.28917
"nuit","Cluster_23_presquile",,,61,1.39333,24.4,250.0,5.7,4.68523,468.52281,228.0,5.20786
"street","Cluster_23_presquile",,,23,0.52535,9.2,250.0,5.7,1.85611,185.61106,217.0,4.9566
"foursquar","Cluster_23_presquile",,,15,0.34262,6.0,250.0,5.7,1.03826,103.82609,253.0,5.77889
"byinstagram","Cluster_23_presquile",,,24,0.5482,9.6,250.0,5.7,0.9319,93.19024,451.0,10.30151
"instagramapp","Cluster_23_presquile",,,24,0.5482,9.6,250.0,5.7,0.92779,92.77881,453.0,10.34719
"iphoneographi","Cluster_23_presquile",,,24,0.5482,9.6,250.0,5.7,0.92779,92.77881,453.0,10.34719
"squareformat","Cluster_23_presquile",,,25,0.57104,10.0,250.0,5.7,0.9559,95.58952,458.0,10.4614
"squar","Cluster_23_presquile",,,27,0.61672,10.8,250.0,5.7,1.01464,101.46438,466.0,10.64413
"upload","Cluster_23_presquile",,,24,0.5482,9.6,250.0,5.7,0.84058,84.0576,500.0,11.42074
"rhônealp","Cluster_23_presquile",,,17,0.38831,6.8,250.0,5.7,0.54326,54.32555,548.0,12.51713
"franc","Cluster_23_presquile",,,56,1.27912,22.4,250.0,5.7,0.48838,48.83825,2008.0,45.86569
"lyon","Cluster_23_presquile",,,192,4.38556,76.8,250.0,5.7,0.95656,95.65587,3515.0,80.2878
"fourvier","Cluster_23",,,22,0.50251,7.1,311.0,7.1,1.7697,176.97014,175.0,3.99726
"rhone","Cluster_23",,,28,0.63956,9.0,311.0,7.1,3.00886,300.88609,131.0,2.99223
"rhône","Cluster_25",,,32,0.73093,9.8,326.0,7.4,2.02709,202.70865,212.0,4.84239
"upload","Cluster_25",,,20,0.45683,6.1,326.0,7.4,0.53718,53.71779,500.0,11.42074
"rhônealp","Cluster_25",,,43,0.98218,13.2,326.0,7.4,1.05377,105.37705,548.0,12.51713
"franc","Cluster_25",,,137,3.12928,42.0,326.0,7.4,0.91625,91.62522,2008.0,45.86569
"lyon","Cluster_25",,,285,6.50982,87.4,326.0,7.4,1.08887,108.88742,3515.0,80.2878
"basiliqu","Cluster_23",,,76,1.73595,24.4,311.0,7.1,8.84186,884.18591,121.0,2.76382
"rhône","Cluster_15_presquile",,,33,0.75377,5.4,608.0,13.9,1.12086,112.08571,212.0,4.84239
"fourvièr","Cluster_23",,,101,2.30699,32.5,311.0,7.1,6.83555,683.55491,208.0,4.75103
"architectur","Cluster_15_presquile",,,44,1.00503,7.2,608.0,13.9,1.77994,177.99379,178.0,4.06578
"kirch","Cluster_23",,,28,0.63956,9.0,311.0,7.1,3.98142,398.14219,99.0,2.26131
"church","Cluster_23",,,41,0.9365,13.2,311.0,7.1,4.1226,412.25999,140.0,3.19781
"l35d800","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.60024,260.02417,157.0,3.58611
"leitax","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.60024,260.02417,157.0,3.58611
"summicronr35mmf2","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.60024,260.02417,157.0,3.58611
"summicronr","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.60024,260.02417,157.0,3.58611
"summicron","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.60024,260.02417,157.0,3.58611
"leitz","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.60024,260.02417,157.0,3.58611
"leica","Cluster_23",,,30,0.68524,9.6,311.0,7.1,2.67288,267.28805,158.0,3.60895
"d800","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.56753,256.75342,159.0,3.6318
"lyo15","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.53564,253.56394,161.0,3.67748
"35mm","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.48926,248.92557,164.0,3.746
"frankreich","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.33279,233.27882,175.0,3.99726
"nikon","Cluster_23",,,32,0.73093,10.3,311.0,7.1,1.5427,154.27036,292.0,6.66971
"rhônealp","Cluster_23",,,64,1.46185,20.6,311.0,7.1,1.64405,164.40491,548.0,12.51713
"franc","Cluster_23",,,202,4.61398,65.0,311.0,7.1,1.41613,141.61297,2008.0,45.86569
"lyon","Cluster_23",,,272,6.21288,87.5,311.0,7.1,1.08933,108.93287,3515.0,80.2878
"foursquar","Cluster_15_presquile",,,35,0.79945,5.8,608.0,13.9,0.99614,99.61384,253.0,5.77889
"byinstagram","Cluster_15_presquile",,,67,1.53038,11.0,608.0,13.9,1.06972,106.97208,451.0,10.30151
"instagramapp","Cluster_15_presquile",,,67,1.53038,11.0,608.0,13.9,1.065,106.4998,453.0,10.34719
"iphoneographi","Cluster_15_presquile",,,67,1.53038,11.0,608.0,13.9,1.065,106.4998,453.0,10.34719
"squareformat","Cluster_15_presquile",,,68,1.55322,11.2,608.0,13.9,1.06909,106.90933,458.0,10.4614
"squar","Cluster_15_presquile",,,67,1.53038,11.0,608.0,13.9,1.03529,103.52877,466.0,10.64413
"upload","Cluster_15_presquile",,,74,1.69027,12.2,608.0,13.9,1.0657,106.56974,500.0,11.42074
"europ","Cluster_15_presquile",,,43,0.98218,7.1,608.0,13.9,0.73897,73.89697,419.0,9.57058
"nikon","Cluster_15_presquile",,,67,1.53038,11.0,608.0,13.9,1.65221,165.22057,292.0,6.66971
"rhônealp","Cluster_15_presquile",,,95,2.16994,15.6,608.0,13.9,1.24829,124.82892,548.0,12.51713
"franc","Cluster_15_presquile",,,346,7.90315,56.9,608.0,13.9,1.24075,124.07508,2008.0,45.86569
"lyon","Cluster_15_presquile",,,498,11.37506,81.9,608.0,13.9,1.02018,102.01786,3515.0,80.2878
"francja","Cluster_23","franc",,21,0.47967,10.4,202.0,4.6,6.89604,689.60396,66.0,1.50754
"francja","Cluster_23","lyon",,21,0.47967,7.7,272.0,6.2,5.12132,512.13235,66.0,1.50754
"sculptur","Cluster_23_presquile","lyon",,15,0.34262,7.8,192.0,4.4,7.43546,743.5462,46.0,1.05071
"automn","Cluster_25","lyon",,15,0.34262,5.3,285.0,6.5,5.23684,523.68421,44.0,1.00503
"girl","Cluster_22_presquile","lyon",,23,0.52535,11.1,208.0,4.8,8.64475,864.47459,56.0,1.27912
"lhc","charlemagn","Cluster_10",,63,1.43901,40.1,157.0,3.6,27.88535,2788.53503,63.0,1.43901
"lhc","Cluster_10","lyon",,63,1.43901,37.5,168.0,3.8,26.05952,2605.95238,63.0,1.43901
"spectacl","Cluster_23_presquile","lyon",,61,1.39333,31.8,192.0,4.4,22.80208,2280.20833,61.0,1.39333
"musé","Cluster_23_presquile","lyon",,22,0.50251,11.5,192.0,4.4,5.63647,563.647,89.0,2.03289
"musé","Cluster_15_presquile","franc",,45,1.02787,13.0,346.0,7.9,6.39767,639.76749,89.0,2.03289
"musé","Cluster_15_presquile","lyon",,45,1.02787,9.0,498.0,11.4,4.44497,444.49709,89.0,2.03289
"canoneos6d","Cluster_25","franc",,34,0.77661,24.8,137.0,3.1,20.89444,2089.44413,52.0,1.18776
"canoneos6d","Cluster_25","lyon",,34,0.77661,11.9,285.0,6.5,10.04399,1004.39946,52.0,1.18776
"fetedeslumier","Cluster_23_presquile","lyon",,61,1.39333,31.8,192.0,4.4,21.73324,2173.32357,64.0,1.46185
"blackwhit","Cluster_23_presquile","lyon",,10,0.22841,5.2,192.0,4.4,4.95697,495.69746,46.0,1.05071
"natur","Cluster_25","franc",,9,0.20557,6.6,137.0,3.1,4.2295,422.94976,68.0,1.55322
"natur","Cluster_25","lyon",,30,0.68524,10.5,285.0,6.5,6.77709,677.70898,68.0,1.55322
"eo","Cluster_25","franc",,32,0.73093,23.4,137.0,3.1,20.05095,2005.09518,51.0,1.16492
"eo","Cluster_25","lyon",,32,0.73093,11.2,285.0,6.5,9.63853,963.85277,51.0,1.16492
"parcdelatêtedor","Cluster_25","franc",,28,0.63956,20.4,137.0,3.1,7.10138,710.13788,126.0,2.87803
"parcdelatêtedor","Cluster_25","lyon",,101,2.30699,35.4,285.0,6.5,12.31351,1231.3506,126.0,2.87803
"oldhous","Cluster_15_presquile","franc",,18,0.41115,5.2,346.0,7.9,6.1556,615.56007,37.0,0.84513
"hockey","charlemagn","Cluster_10",,95,2.16994,60.5,157.0,3.6,24.99159,2499.15875,106.0,2.4212
"hockey","Cluster_10","lyon",,106,2.4212,63.1,168.0,3.8,26.05952,2605.95238,106.0,2.4212
"couleur","Cluster_22_presquile","lyon",,14,0.31978,6.7,208.0,4.8,2.77993,277.99347,106.0,2.4212
"couleur","Cluster_23_presquile","lyon",,62,1.41617,32.3,192.0,4.4,13.33707,1333.70676,106.0,2.4212
"black","Cluster_23_presquile","lyon",,12,0.2741,6.2,192.0,4.4,4.14583,414.58333,66.0,1.50754
"black","Cluster_25","lyon",,16,0.36546,5.6,285.0,6.5,3.72398,372.39766,66.0,1.50754
"white","Cluster_23_presquile","lyon",,12,0.2741,6.2,192.0,4.4,4.0239,402.38971,68.0,1.55322
"white","Cluster_25","lyon",,18,0.41115,6.3,285.0,6.5,4.06625,406.62539,68.0,1.55322
"parc","Cluster_25","franc",,62,1.41617,45.3,137.0,3.1,17.53349,1753.34927,113.0,2.58109
"parc","Cluster_25","lyon",,89,2.03289,31.2,285.0,6.5,12.0988,1209.88045,113.0,2.58109
"terreaux","Cluster_23_presquile","lyon",,15,0.34262,7.8,192.0,4.4,5.42907,542.90675,63.0,1.43901
"canon","Cluster_25","franc",,32,0.73093,23.4,137.0,3.1,10.99568,1099.56832,93.0,2.12426
"canon","Cluster_25","lyon",,33,0.75377,11.6,285.0,6.5,5.45082,545.08206,93.0,2.12426
"lion","charlemagn","Cluster_10",,112,2.55825,71.3,157.0,3.6,16.0162,1601.62012,195.0,4.45409
"franc","charlemagn","Cluster_10",,19,0.43399,12.1,157.0,3.6,0.26386,26.38554,2008.0,45.86569
"lyon","charlemagn","Cluster_10",,157,3.58611,100.0,157.0,3.6,1.24552,124.55192,3515.0,80.2878
"charlemagn","Cluster_10","lyon",,157,3.58611,93.5,168.0,3.8,26.05952,2605.95238,157.0,3.58611
"bellecour","Cluster_22_presquile","lyon",,32,0.73093,15.4,208.0,4.8,8.74725,874.72527,77.0,1.75879
"lion","Cluster_10","lyon",,123,2.8095,73.2,168.0,3.8,16.43755,1643.75458,195.0,4.45409
